product_id,listing_id,market,price,sku,grade_code
ff69770a-a2e8-418c-b286-b7e8ab17962a,985704,fr-fr,120.00,,GOLD
fc05c128-edaf-4bbb-8d0e-f4efcab0ebfe,985703,fr-fr,722.00,,DIAMOND
fc05c128-edaf-4bbb-8d0e-f4efcab0ebfe,985702,fr-fr,400.00,,GOLD
fc05c128-edaf-4bbb-8d0e-f4efcab0ebfe,985701,fr-fr,676.00,,PLATINUM
fc81d492-cef1-4b50-81c5-0900ede5a0d4,985700,fr-fr,909.00,,DIAMOND
fc81d492-cef1-4b50-81c5-0900ede5a0d4,985698,fr-fr,896.00,,PLATINUM
fbf75b9b-8c7d-49ac-b001-cc9450771ce7,985697,fr-fr,737.00,,PLATINUM
fbf75b9b-8c7d-49ac-b001-cc9450771ce7,985696,fr-fr,123.00,,GOLD
fbf75b9b-8c7d-49ac-b001-cc9450771ce7,985695,fr-fr,772.00,,DIAMOND
fc6e0e81-635d-4563-8198-ed37b2ee0145,985693,fr-fr,380.00,,PLATINUM
fc6e0e81-635d-4563-8198-ed37b2ee0145,985692,fr-fr,450.00,,DIAMOND
fb28fe81-9b1c-437a-a6f6-8ee58fe7ea03,985690,fr-fr,317.00,,PLATINUM
fb28fe81-9b1c-437a-a6f6-8ee58fe7ea03,985689,fr-fr,336.00,,DIAMOND
fb19c415-0ce0-4641-891e-4bb712dfeaed,985688,fr-fr,2058.00,,PLATINUM
fb19c415-0ce0-4641-891e-4bb712dfeaed,985687,fr-fr,140.00,,GOLD
fb19c415-0ce0-4641-891e-4bb712dfeaed,985686,fr-fr,2107.00,,DIAMOND
f8c8f7b9-007a-4379-acb2-bc0774e391c6,985685,fr-fr,441.00,,PLATINUM
f8c8f7b9-007a-4379-acb2-bc0774e391c6,985684,fr-fr,307.00,,GOLD
f8c8f7b9-007a-4379-acb2-bc0774e391c6,985683,fr-fr,456.00,,DIAMOND
f8c41b50-9b95-480f-ab77-44df8d135992,985682,fr-fr,524.00,,DIAMOND
f8c41b50-9b95-480f-ab77-44df8d135992,985680,fr-fr,501.00,,PLATINUM
fafd83d6-c03d-4c54-ae64-30ddc06f0c00,985679,fr-fr,500.00,,GOLD
fafd83d6-c03d-4c54-ae64-30ddc06f0c00,985678,fr-fr,562.00,,DIAMOND
fafd83d6-c03d-4c54-ae64-30ddc06f0c00,985677,fr-fr,701.00,,PLATINUM
f8b0e634-692f-47a4-8391-a781d6d1719a,985676,fr-fr,711.00,,PLATINUM
f8b0e634-692f-47a4-8391-a781d6d1719a,985675,fr-fr,672.00,,DIAMOND
f8b0e634-692f-47a4-8391-a781d6d1719a,985674,fr-fr,500.00,,GOLD
fb6a11b3-cc4a-4fec-896f-47f2fad95fae,985673,fr-fr,606.00,,PLATINUM
fb6a11b3-cc4a-4fec-896f-47f2fad95fae,985672,fr-fr,370.00,,GOLD
fb6a11b3-cc4a-4fec-896f-47f2fad95fae,985671,fr-fr,637.00,,DIAMOND
faba1cb7-ac74-4210-bb4e-d8b13ef1ef05,985670,fr-fr,592.00,,DIAMOND
faba1cb7-ac74-4210-bb4e-d8b13ef1ef05,985669,fr-fr,400.00,,GOLD
faba1cb7-ac74-4210-bb4e-d8b13ef1ef05,985668,fr-fr,686.00,,PLATINUM
f86dc7ae-6526-4dac-90e0-03d27260a01b,985667,fr-fr,493.00,,PLATINUM
f86dc7ae-6526-4dac-90e0-03d27260a01b,985666,fr-fr,120.00,,GOLD
f86dc7ae-6526-4dac-90e0-03d27260a01b,985665,fr-fr,500.00,,DIAMOND
f8473ef3-bd37-4a1e-8af3-eaf7e67e4300,985664,fr-fr,755.00,,GOLD
f8473ef3-bd37-4a1e-8af3-eaf7e67e4300,985663,fr-fr,1753.00,,PLATINUM
f8473ef3-bd37-4a1e-8af3-eaf7e67e4300,985662,fr-fr,1803.00,,DIAMOND
fa85dd72-dcc8-4c58-b923-260c07af72fe,985660,fr-fr,369.00,,PLATINUM
fa85dd72-dcc8-4c58-b923-260c07af72fe,985659,fr-fr,401.00,,DIAMOND
f7f2e457-4f26-42b8-a25f-f7b3372c2062,985658,fr-fr,481.00,,PLATINUM
f7f2e457-4f26-42b8-a25f-f7b3372c2062,985656,fr-fr,502.00,,DIAMOND
fa77769c-59ad-44ee-84ac-04a7e789391c,985655,fr-fr,839.00,,DIAMOND
fa77769c-59ad-44ee-84ac-04a7e789391c,985654,fr-fr,200.00,,GOLD
fa77769c-59ad-44ee-84ac-04a7e789391c,985653,fr-fr,829.00,,PLATINUM
f9a64470-d317-4076-8032-24ee10fec85f,985652,fr-fr,1658.00,,PLATINUM
f9a64470-d317-4076-8032-24ee10fec85f,985651,fr-fr,140.00,,GOLD
f9a64470-d317-4076-8032-24ee10fec85f,985650,fr-fr,1707.00,,DIAMOND
f7ec9ba3-a4d3-4746-8054-fe5c0c2813ca,985649,fr-fr,735.00,,PLATINUM
f7ec9ba3-a4d3-4746-8054-fe5c0c2813ca,985648,fr-fr,150.00,,GOLD
f7ec9ba3-a4d3-4746-8054-fe5c0c2813ca,985647,fr-fr,807.00,,DIAMOND
f99a20c6-89ea-4848-915d-5b69001970d9,985646,fr-fr,609.00,,PLATINUM
f99a20c6-89ea-4848-915d-5b69001970d9,985645,fr-fr,218.00,,GOLD
f99a20c6-89ea-4848-915d-5b69001970d9,985644,fr-fr,660.00,,DIAMOND
fa28f87f-74bc-4151-8edf-464a94c0759e,985643,fr-fr,368.00,,GOLD
fa28f87f-74bc-4151-8edf-464a94c0759e,985642,fr-fr,496.00,,PLATINUM
fa28f87f-74bc-4151-8edf-464a94c0759e,985641,fr-fr,506.00,,DIAMOND
f713aaa9-38a8-475b-a1ac-2807dae7eeab,985640,fr-fr,706.00,,PLATINUM
f713aaa9-38a8-475b-a1ac-2807dae7eeab,985639,fr-fr,717.00,,DIAMOND
f713aaa9-38a8-475b-a1ac-2807dae7eeab,985638,fr-fr,480.00,,GOLD
f781ab62-6e69-41c4-a0fa-fd9ee156ead5,985636,fr-fr,653.00,,DIAMOND
f781ab62-6e69-41c4-a0fa-fd9ee156ead5,985635,fr-fr,688.00,,PLATINUM
f9fda1b4-53c8-4e06-ad3e-718ff164434f,985634,fr-fr,571.00,,DIAMOND
f9fda1b4-53c8-4e06-ad3e-718ff164434f,985633,fr-fr,370.00,,GOLD
f9fda1b4-53c8-4e06-ad3e-718ff164434f,985632,fr-fr,561.00,,PLATINUM
f9704fa6-403f-412b-a48b-06336441b118,985631,fr-fr,666.00,,GOLD
f9704fa6-403f-412b-a48b-06336441b118,985630,fr-fr,1067.00,,DIAMOND
f9704fa6-403f-412b-a48b-06336441b118,985629,fr-fr,1009.00,,PLATINUM
f7405cfa-d8bb-4f88-a277-182f0fa936d1,985628,fr-fr,756.00,,PLATINUM
f7405cfa-d8bb-4f88-a277-182f0fa936d1,985627,fr-fr,500.00,,GOLD
f7405cfa-d8bb-4f88-a277-182f0fa936d1,985626,fr-fr,818.00,,DIAMOND
f6e838a5-76cb-4ea6-9b97-3efaf57fa315,985625,fr-fr,649.00,,DIAMOND
f6e838a5-76cb-4ea6-9b97-3efaf57fa315,985624,fr-fr,380.00,,GOLD
f6e838a5-76cb-4ea6-9b97-3efaf57fa315,985623,fr-fr,632.00,,PLATINUM
f739c28a-6803-417a-8fef-b19f81944257,985622,fr-fr,556.00,,PLATINUM
f739c28a-6803-417a-8fef-b19f81944257,985621,fr-fr,587.00,,DIAMOND
f739c28a-6803-417a-8fef-b19f81944257,985620,fr-fr,209.00,,GOLD
f8f8ad58-9064-4608-957a-2a1f79e99042,985619,fr-fr,150.00,,GOLD
f8f8ad58-9064-4608-957a-2a1f79e99042,985618,fr-fr,786.00,,DIAMOND
f8f8ad58-9064-4608-957a-2a1f79e99042,985617,fr-fr,761.00,,PLATINUM
f6e23664-1e9a-41c7-ac20-a3c984a95858,985616,fr-fr,528.00,,DIAMOND
f6e23664-1e9a-41c7-ac20-a3c984a95858,985615,fr-fr,206.00,,GOLD
f6e23664-1e9a-41c7-ac20-a3c984a95858,985614,fr-fr,484.00,,PLATINUM
f5b014e3-b071-41a3-af52-7e23d1ae8e3f,985613,fr-fr,402.00,,DIAMOND
f5b014e3-b071-41a3-af52-7e23d1ae8e3f,985612,fr-fr,120.00,,GOLD
