"product_id";"product_uuid";"listing_id";"market";"price";"sku";"grade_code";"grade";"category";"brand";"model";"storage";"buybox_price";"is_buybox";"status"
"20438";"fcc6b6f5-a86b-444b-994c-1c919c7e7715";"985717";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"2000";"600.00";"False";"Online"
"20438";"fcc6b6f5-a86b-444b-994c-1c919c7e7715";"985716";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"2000";"965.00";"False";"Online"
"20437";"fc2f0959-ebf5-4122-8201-3fcfdcc06485";"985715";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"2048";"100.00";"True";"Online"
"20437";"fc2f0959-ebf5-4122-8201-3fcfdcc06485";"985714";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"2048";"746.00";"False";"Online"
"20437";"fc2f0959-ebf5-4122-8201-3fcfdcc06485";"985713";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"2048";"667.00";"False";"Online"
"20432";"ff7fd637-d700-4c8c-bb99-0a0814ba386e";"985712";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"4096";"518.00";"False";"Online"
"20432";"ff7fd637-d700-4c8c-bb99-0a0814ba386e";"985711";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"4096";"100.00";"True";"Online"
"20432";"ff7fd637-d700-4c8c-bb99-0a0814ba386e";"985710";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"4096";"566.00";"False";"Online"
"20430";"fc0812ea-5f67-4177-a404-8cbdeb81dc35";"985709";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"512";"120.00";"False";"Online"
"20430";"fc0812ea-5f67-4177-a404-8cbdeb81dc35";"985708";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"512";"500.00";"False";"Online"
"20430";"fc0812ea-5f67-4177-a404-8cbdeb81dc35";"985707";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"512";"550.00";"False";"Online"
"20428";"ff69770a-a2e8-418c-b286-b7e8ab17962a";"985706";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"512";"400.00";"False";"Online"
